name,birth_rate,fertility_rate,death_rate,year,population,,,,,,,,
India,41.995,5.906,22.184,1960,445954560,58.501,,1.00585,,,,,
India,41.749,5.902,21.652,1961,456351872,,,plus,,,,,
India,41.484,5.894,21.126,1962,467024192,,,1114886400,minus,,,,
India,41.2,5.88,20.608,1963,477933632,,,,9896055.96,,,,
India,40.898,5.859,20.096,1964,489059296,,,,,,,,
India,40.587,5.83,19.591,1965,500114336,,,,,,,,
India,40.274,5.794,19.093,1966,510992608,,,,,,,,
India,39.968,5.751,18.603,1967,521987072,,,,,,10%,,
India,39.672,5.702,18.122,1968,533431904,,,,,,263380763,0.7,0.7
India,39.388,5.648,17.65,1969,545314688,,,,,,plus,plus,plus
India,39.108,5.587,17.187,1970,557501312,,,,,,,26578891,21803318
India,38.822,5.519,16.73,1971,569999168,,,,,,709335323.1,minus,minus
India,38.521,5.444,16.28,1972,582837952,,,,,,,9893055,9576757
India,38.202,5.363,15.838,1973,596107456,,,,,,,,
India,37.866,5.278,15.408,1974,609721920,,,,,,,,
India,37.528,5.192,14.994,1975,623524224,,,,,,,,
India,37.205,5.108,14.601,1976,637451456,,,,,,,,
India,36.909,5.029,14.233,1977,651685632,,,,,,,,
India,36.643,4.956,13.892,1978,666267776,,,,,,,,
India,36.401,4.889,13.577,1979,681248384,,,,,,,,
India,36.167,4.827,13.29,1980,696828352,,,,,,,,
India,35.918,4.766,13.027,1981,712869312,,,,,,,,
India,35.631,4.703,12.786,1982,729169472,,,,,,,,
India,35.289,4.636,12.558,1983,745826560,,,,,,,,
India,34.886,4.563,12.337,1984,762895168,,,,,,,,
India,34.418,4.484,12.117,1985,780242112,,,,,,,,
India,33.89,4.399,11.888,1986,797878976,,,,,,,,
India,33.32,4.311,11.649,1987,815716160,,,,,,,,
India,32.726,4.222,11.398,1988,833729664,,,,,,,,
India,32.121,4.132,11.135,1989,852012672,,,,,,,,
India,31.517,4.045,10.864,1990,870452160,,,,,,,,
India,30.924,3.959,10.588,1991,888941760,,,,,,,,
India,30.348,3.877,10.316,1992,907574080,,,,,,,,
India,29.792,3.799,10.055,1993,926351296,,,,,,,,
India,29.258,3.723,9.808,1994,945261952,,,,,,,,
India,28.749,3.651,9.579,1995,964279104,,,,,,,,
India,28.262,3.582,9.37,1996,983281216,,,,,,,,
India,27.789,3.514,9.179,1997,1002335232,,,,,,,,
India,27.324,3.446,9.003,1998,1021434560,,,,,,,,
India,26.861,3.379,8.841,1999,1040500032,,,,,,,,
India,26.401,3.311,8.692,2000,1059633664,,,,,,,,
India,25.944,3.244,8.555,2001,1078970880,,,,,,,,
India,25.489,3.176,8.427,2002,1098313088,,,,,,,,
India,25.034,3.109,8.306,2003,1117415168,,,,,,,,
India,24.571,3.041,8.189,2004,1136264576,,,,,,,,
India,24.087,2.972,8.074,2005,1154638720,,,,,,,,
India,23.564,2.899,7.958,2006,1172373760,,,,,,,,
India,22.996,2.823,7.839,2007,1189691776,,,,,,,,
India,22.39,2.743,7.72,2008,1206734848,,,,,,,,
India,21.755,2.661,7.602,2009,1223640192,,,,,,,,
India,21.114,2.581,7.492,2010,1240613632,,,,,,,,
India,20.495,2.506,7.393,2011,1257621248,,,,,,,,
India,19.923,2.439,7.312,2012,1274487168,,,,,,,,
India,19.416,2.381,7.251,2013,1291132032,,,,,,,,
India,18.984,2.333,7.212,2014,1307246464,,,,,,,,
India,18.625,2.295,7.194,2015,1322866560,,,,,,,,
India,18.332,2.266,7.195,2016,1338636288,,,,,,,,
India,18.083,2.243,7.21,2017,1354195712,,,,,,,,
India,17.857,2.222,7.234,2018,1369003264,,,,,,,,
India,17.644,2.202,7.265,2019,1383112064,,,,,,,,
India,17.437,2.184,7.301,2020,1396387072,,,,,,,,
China,20.86,5.756,25.43,1960,654170688,,,,,,,,
China,18.02,5.905,14.24,1961,655260352,,,,,,,,
China,37.01,6.062,10.02,1962,664614656,,,,,,,,
China,43.37,6.206,10.04,1963,683903552,,,,,,,,
China,39.14,6.32,11.5,1964,704593792,,,,,,,,
China,37.88,6.385,9.5,1965,723846336,,,,,,,,
China,35.05,6.384,8.83,1966,742948544,,,,,,,,
China,33.96,6.316,8.43,1967,761006272,,,,,,,,
China,35.59,6.184,8.21,1968,780371968,,,,,,,,
China,34.11,5.986,8.03,1969,801430976,,,,,,,,
China,33.43,5.725,7.6,1970,822534464,,,,,,,,
China,30.65,5.403,7.32,1971,843285440,,,,,,,,
China,29.77,5.035,7.61,1972,862840384,,,,China sex rat- 45%,,,,
China,27.93,4.643,7.04,1973,881652096,,,,,,,,
China,24.82,4.244,7.34,1974,899367680,,,,,,,,
China,23.01,3.859,7.32,1975,915124672,,,,,,,,
